Title,Director,Type,My Rating,Average Rating,Date Watched,Date Added,Language,Genre,Status,URL
The Artist,Michel Hazanavicius,Movie,4,4.0,2/26/2012,2/26/2012,English,Comedy,Watched,
When Harry Met Sally...,Rob Reiner,Movie,4,3.8,2/26/2012,2/26/2012,English,Romance,Watched,
Easy A,Will Gluck,Movie,4,3.6,2/26/2012,2/26/2012,English,Comedy,Watched,
Luck by Chance,Zoya Akhtar,Movie,4,3.6,2/26/2012,2/26/2012,Hindi,Drama,Watched,
"Road, Movie",Dev Benegal,Movie,4,3.5,2/26/2012,2/26/2012,English,Drama,Watched,
No Strings Attached,Ivan Reitman,Movie,4,3.1,2/26/2012,2/26/2012,English,Romance,Watched,
Arrested Development,Mitchell Hurwitz,Series,5,4.5,2/26/2012,2/26/2012,English,Comedy,Watched,
Seinfeld,"Larry David, Jerry Seinfeld",Series,5,4.5,2/26/2012,2/26/2012,English,Comedy,Watched,
Forrest Gump,Robert Zemeckis,Movie,5,4.4,2/26/2012,2/26/2012,English,"Drama, Family",Watched,
The Office,Greg Daniels,Series,5,4.4,2/26/2012,2/26/2012,English,Comedy,Watched,
The Sea Inside,Alejandro Amenabar,Movie,5,4.0,2/26/2012,2/26/2012,Spanish,Drama,Watched,
The Bourne Ultimatum,Paul Greengrass,Movie,5,4.0,2/26/2012,2/26/2012,English,Thriller,Watched,
Delhi Belly,"Abhinay Deo, Akshat Verma",Movie,5,3.8,2/26/2012,2/26/2012,Hindi,Comedy,Watched,
United 93,Paul Greengrass,Movie,5,3.8,2/26/2012,2/26/2012,English,History,Watched,
Welcome to Sajjanpur,Shyam Benegal,Movie,5,3.5,2/26/2012,2/26/2012,Hindi,Comedy,Watched,
The Shining,Stanley Kubrick,Movie,5,4.1,3/1/2010,3/28/2020,English,"Horror, Family",Watched,
